name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,country_code
Boriskino,5112,Valid,CM2,1342.0,Fell,1930.0,54.23333,52.48333,"(54.23333, 52.48333)",ru
Borkut,5113,Valid,L5,7000.0,Fell,1852.0,48.15,24.28333,"(48.15, 24.28333)",ua
Borodino,5114,Valid,H5,500.0,Fell,1812.0,55.46667,35.86667,"(55.46667, 35.86667)",ru
Botschetschki,5117,Valid,L4,614.0,Fell,1823.0,51.33333,33.88333,"(51.33333, 33.88333)",ua
Boumdeid (2003),57168,Valid,L6,190.0,Fell,2003.0,17.71067,-11.3715,"(17.71067, -11.3715)",mr
Boumdeid (2011),57167,Valid,L6,3599.0,Fell,2011.0,17.17493,-11.34133,"(17.17493, -11.34133)",mr
Bovedy,5121,Valid,L3,5460.0,Fell,1969.0,54.56667,-6.33333,"(54.56667, -6.33333)",gb
Bradford Woods,5128,Valid,L,762.0,Fell,1886.0,40.5,-80.08333,"(40.5, -80.08333)",us
Braunau,5133,Valid,"Iron, IIAB",39000.0,Fell,1847.0,50.6,16.3,"(50.6, 16.3)",cz
Breitscheid,5134,Valid,H5,1500.0,Fell,1956.0,50.66694,8.18361,"(50.66694, 8.18361)",de
Bremervörde,5135,Valid,H/L3.9,7250.0,Fell,1855.0,53.4,9.1,"(53.4, 9.1)",de
Brient,5140,Valid,Eucrite-pmict,219.0,Fell,1933.0,52.13333,59.31667,"(52.13333, 59.31667)",ru
Bruderheim,5156,Valid,L6,303000.0,Fell,1960.0,53.9,-112.88333,"(53.9, -112.88333)",ca
Bukhara,30448,Valid,CV3,5300.0,Fell,2001.0,39.77978,64.60035,"(39.77978, 64.60035)",uz
Bulls Run,5163,Valid,Iron?,2250.0,Fell,1964.0,,,,
Bunburra Rockhole,48653,Valid,Eucrite,324.0,Fell,2007.0,-31.35,129.19,"(-31.35, 129.19)",au
Bununu,5165,Valid,Howardite,357.0,Fell,1942.0,10.01667,9.58333,"(10.01667, 9.58333)",ng
Bur-Gheluai,5169,Valid,H5,120000.0,Fell,1919.0,5.0,48.0,"(5.0, 48.0)",so
Burnwell,5175,Valid,H4-an,1504.0,Fell,1990.0,37.62194,-82.23722,"(37.62194, -82.23722)",us
Bursa,5177,Valid,L6,25000.0,Fell,1946.0,40.2,29.23333,"(40.2, 29.23333)",tr
Buschhof,5178,Valid,L6,5000.0,Fell,1863.0,46.45,25.78333,"(46.45, 25.78333)",ro
Bustee,5181,Valid,Aubrite,1500.0,Fell,1852.0,26.78333,82.83333,"(26.78333, 82.83333)",in
Butsura,5183,Valid,H6,29000.0,Fell,1861.0,27.08333,84.08333,"(27.08333, 84.08333)",in
Buzzard Coulee,48654,Valid,H4,41000.0,Fell,2008.0,52.996,-109.84817,"(52.996, -109.84817)",ca
Cabezo de Mayo,5185,Valid,L/LL6,25000.0,Fell,1870.0,37.98333,-1.16667,"(37.98333, -1.16667)",es
Cabin Creek,5186,Valid,"Iron, IIIAB",48500.0,Fell,1886.0,35.5,-93.5,"(35.5, -93.5)",us
